ecoHydro,period,T1,SD1,T2,SD2,Change,perDif,p.value
Great Basin-Colorado Plateau,temp,39473.8065140264,8317.99572614983,40344.1625129639,7033.93939331819,870.355998937506,2.20489503242673,0.929230648005386
Middle Rockies,temp,5619.18384874371,662.597326638071,4804.62004151204,1373.39752463229,-814.563807231663,-14.4961230875864,0.217126918696677
Mojave-Sonoran Deserts,temp,43.0034737586519,11.0800330284681,56.8392167508059,12.8238580944367,13.8357429921541,32.1735473506264,0.00418947289230314
Northern Plains,temp,2448.10908412189,265.570100225243,2468.96539223571,668.667823922454,20.8563081138182,0.851935407988532,0.443784934717906
Northern Rockies,temp,310.179048864597,121.410279614251,324.690748152827,108.927194322467,14.5116992882298,4.67849112999394,0.656717966752763
Pacific NW,temp,5536.29058359678,741.835420076303,6561.35618685933,785.027108413679,1025.06560326256,18.5153865712843,0.00122419282889981
Southern Plains,temp,625.44708670518,161.105145806064,562.084606431144,108.605478828543,-63.3624802740363,-10.1307499260771,0.422758780613809
Southern Rockies and Basins,temp,13800.5627953684,1839.34579749289,11604.2275444593,1520.87622063763,-2196.33525090914,-15.9148237899852,0.00188177249544698
Great Basin-Colorado Plateau,seasonal,58546.7557354026,11547.8899268545,56877.6326563364,6514.41758341213,-1669.12307906622,-2.85092326312613,0.817344976051701
Middle Rockies,seasonal,5270.05052727359,1259.63904835455,4911.36471214774,850.279531624931,-358.685815125851,-6.80611719507391,0.382453468091973
Mojave-Sonoran Deserts,seasonal,41.5896284088887,15.9989935855443,36.5241151108908,11.9400391566584,-5.06551329799787,-12.1797512788435,0.260359756840209
Northern Plains,seasonal,3197.55257508096,314.068245654856,2984.16660690461,739.956783617781,-213.38596817635,-6.67341546904659,0.0445226890079167
Northern Rockies,seasonal,591.519330105454,147.399573170803,554.779825797292,223.715990307797,-36.7395043081626,-6.21104035629957,0.118083439115962
Pacific NW,seasonal,9252.75633826023,1887.33681989356,8764.41812274375,1421.3430371931,-488.338215516478,-5.2777593796261,0.957503822560089
Southern Plains,seasonal,1112.90264669882,293.761746030785,829.514897920485,203.549313280073,-283.387748778336,-25.4638399521237,0.00122419282889981
Southern Rockies and Basins,seasonal,9138.80094599197,1279.46285554716,7120.32027350774,908.333594875377,-2018.48067248423,-22.0869311457044,0.000024057186477674
Great Basin-Colorado Plateau,semi,160613.674600772,41405.7354091418,87775.0949297001,7826.43979475207,-72838.579671072,-45.3501732353254,0.00000000171408524956708
Middle Rockies,semi,5639.8473223174,413.845240284681,6116.16470489785,858.168755889699,476.317382580452,8.44557228873235,0.109671260646537
Mojave-Sonoran Deserts,semi,93.400526186703,23.4772656700907,90.9242742769171,18.0368876524263,-2.47625190978586,-2.65121837197786,0.510218928024626
Northern Plains,semi,8176.88653673784,762.944994711454,7455.6295759264,495.8467548762,-721.256960811434,-8.82067957737834,0.00475274016024863
Northern Rockies,semi,2746.27694660874,185.053579278992,2334.4653476261,268.217453543757,-411.811598982642,-14.9952683938585,0.00000117243431070389
Pacific NW,semi,14545.231800351,1736.82154666715,9548.12886951266,4373.23565185461,-4997.10293083831,-34.3556087618881,0.000120671601569523
Southern Plains,semi,5267.44562381787,1483.89434487509,2570.98546211094,790.342414963961,-2696.46016170693,-51.1910393438959,0.00000117243431070389
Southern Rockies and Basins,semi,9849.70892714053,2201.24029027505,7470.98798076114,899.301416411263,-2378.72094637939,-24.1501648827907,0.000247904721474388
