ecoHydro,ownAg,T1,SD1,T2,SD2,Change,perDif,p.value
Great Basin-Colorado Plateau,Private,68097.9721739459,19007.3999864563,48979.4693143155,7349.54692599295,-19118.5028596304,-28.0749958468589,0.0024781901721191
Middle Rockies,Private,5848.30261536744,746.606640353477,4924.74931865805,504.820017694669,-923.553296709393,-15.7918178563913,0.000485050129837244
Mojave-Sonoran Deserts,Private,12.6208887715393,5.37698348362888,12.3537455806841,4.68202481823099,-0.267143190855217,-2.11667494810379,1
Northern Plains,Private,3465.64303383138,341.374216322256,3283.86453952505,723.975408925006,-181.778494306329,-5.24515919648446,0.230940937413168
Northern Rockies,Private,390.735108404667,69.5867472603169,311.629975496743,70.1079518159283,-79.1051329079246,-20.2452073556694,0.00685851274427954
Pacific NW,Private,9965.59684911315,1596.92884841621,9430.7279190162,1645.41687821886,-534.868930096956,-5.36715400186548,0.309032541059991
Southern Plains,Private,2344.23031790882,227.681974065067,1593.92122798087,108.295278803227,-750.309089927942,-32.0066285379868,0.00000000171408524956708
Southern Rockies and Basins,Private,20359.1613944808,2961.06930902839,16829.6583717802,1983.20510100124,-3529.50302270058,-17.3361905940654,0.000485050129837244
Great Basin-Colorado Plateau,Public,190536.264676255,31194.7218807931,136017.420784685,10674.955880547,-54518.8438915703,-28.613368685591,0.00000000171408524956708
Middle Rockies,Public,10680.7790829673,1266.51742533096,10907.4001398996,904.601311266151,226.62105693233,2.12176523053197,0.606048247505957
Mojave-Sonoran Deserts,Public,165.372739582704,30.6472161374351,171.93386055793,31.3773818615014,6.56112097522555,3.96747432000078,0.735625500689658
Northern Plains,Public,10356.9051621093,571.772395051677,9624.89703554167,1015.46476801879,-732.008126567636,-7.06782687598304,0.0121775798146441
Northern Rockies,Public,3257.24021717412,101.780332273365,2902.30594607947,136.087766943634,-354.934271094651,-10.8967790960957,0.00000000685634099826834
Pacific NW,Public,19368.6818730948,1675.85278627891,15443.1752600995,4232.2283330041,-3925.50661299528,-20.2672883922381,0.00323558787908956
Southern Plains,Public,4661.56503931305,1078.49506175414,2368.66373848169,840.0980678431,-2292.90130083136,-49.1873712260647,0.00000207575723722574
Southern Rockies and Basins,Public,12429.9112740201,1808.67748775745,9365.87742694794,703.818007815557,-3064.03384707218,-24.6504884831829,0.0000000771338362305188
