HUC4,1983-2003 (T1),SD T1,2004-2020 (T2),SD T2,Change,% Dif,p.value
1002,175837.475644652,20950.7467515135,183971.656807998,22766.5891363337,8134.18116334651,0.0462596561599008,0.27032576790602
1003,100274.402565258,28856.8460172882,114253.016672525,29496.2531001056,13978.6141072669,0.139403613979846,0.128169518223677
1004,28029.6154705209,10002.4002504966,33828.1989489227,17628.2907829558,5798.58347840184,0.206873457985904,0.615563482282295
1005,59100.5598068072,19977.9669084506,84856.1402774036,36468.0366968298,25755.5804705964,0.435792495955848,0.0795675234056463
1006,19439.533597683,6838.31442434362,29429.7667710438,17381.9438552413,9990.23317336079,0.513913213151961,0.128169518223677
1007,95186.3426440576,14544.318824134,99916.0309002607,20368.1950270808,4729.6882562031,0.049688727655914,0.867207775652105
1018,113190.730959059,17757.0607076672,128160.290366556,32471.8783400483,14969.5594074972,0.132250753048956,0.20987132187094
1019,390654.439484426,36645.4519004014,367591.637890204,45078.8381620269,-23062.8015942212,-0.0590363228040076,0.159611595380778
1102,204538.014871215,50128.5464007564,189961.228765418,39068.8421135228,-14576.7861057971,-0.0712668797288131,0.445036228847858
1301,110074.78036621,23138.9635264783,111977.806714815,19197.3984136917,1903.02634860489,0.0172884864477919,0.642022222684723
1401,122461.157216873,22716.0610986757,133718.383459895,33474.2367474037,11257.2262430217,0.0919248723338922,0.467673626817205
1402,129022.903329591,18957.3068671233,135047.502005639,26916.5826692213,6024.59867604773,0.0466940250186263,0.564102006388863
1404,48497.6425499681,10161.3216650565,62039.7434349951,13919.7038429792,13542.100885027,0.279232147646648,0.00511334598688205
1406,88540.8903413013,9609.79371196743,98132.5951009467,11103.3657089017,9591.70475964541,0.108330791825923,0.0259982495852177
1501,12522.9988616077,1793.20490752424,14897.0019218319,3340.97109543137,2374.00306022421,0.189571450613342,0.0169702458601253
1601,121478.712370626,28997.682491341,147419.532965563,23128.5047381709,25940.8205949374,0.213542110290017,0.0120890618308143
1602,106311.9877538,11797.2187309432,114161.71901519,12619.9245174684,7849.73126139013,0.0738367462338186,0.148558241934993
1604,76462.6957346667,12011.3109876026,90498.9218683003,9715.07084313518,14036.2261336337,0.183569595588688,0.000653479977944381
1605,61355.5337723811,5765.34715938233,61013.0918161837,5193.86772960679,-342.441956197392,-0.00558127254613732,0.668930879611627
1606,31932.4405822629,4294.48485356995,41296.2466999485,5178.21774993148,9363.80611768558,0.293238034642638,0.00000402608376560081
1701,177733.460031952,30457.7451800197,168493.510078003,24799.9859108813,-9239.94995394914,-0.0519876783599894,0.380896465446161
1704,1044606.309447,112186.411380468,1110391.1844832,64289.9542745001,65784.875036196,0.0629757588493043,0.128169518223677
1705,391454.96860615,34724.3676965439,407961.725591409,28450.2437047225,16506.7569852592,0.0421677033351618,0.27032576790602
1712,43221.958319467,8516.61186250241,61546.8825342472,9853.91737708151,18324.9242147802,0.423972557636907,0.00000124109854923066
1801,130536.001775845,14323.3849695986,135215.365747444,9531.66606515012,4679.36397159894,0.0358473057849151,0.27032576790602
1802,714713.081664118,34496.2720776568,755565.172765458,30689.9924508331,40852.0911013398,0.05715872865545,0.000769976874474311
1808,21016.688352147,3880.52875201792,21357.2692400903,3630.49352116958,340.580887943372,0.0162052594698431,0.925995689195583
1809,17502.0299266718,1564.01481991682,17924.964818569,991.998627957152,422.934891897225,0.0241649050806789,0.589580811312111
