term,ecoHydro,period,Private,Public,Pub,Pri
T1,Great Basin-Colorado Plateau,seasonal,18632.1854401766,39914.570295226,68.1755458417145,31.8244541582856
T1,Great Basin-Colorado Plateau,semi,29116.0843322994,131497.590268473,81.8719767138934,18.1280232861066
T1,Great Basin-Colorado Plateau,temp,20349.7024014699,19124.1041125565,48.4475803106576,51.5524196893424
T1,Middle Rockies,seasonal,1625.52870456984,3644.52182270376,69.1553487740318,30.8446512259682
T1,Middle Rockies,semi,2236.05596338112,3403.79135893628,60.3525443936605,39.6474556063395
T1,Middle Rockies,temp,1986.71794741649,3632.46590132722,64.6440123531345,35.3559876468655
T1,Mojave-Sonoran Deserts,seasonal,3.23244317058729,38.3571852383014,92.2277661661039,7.77223383389606
T1,Mojave-Sonoran Deserts,semi,5.9991616202858,87.4013645664171,93.5769509389125,6.42304906108749
T1,Mojave-Sonoran Deserts,temp,3.3892839806662,39.6141897779857,92.1185809321176,7.88141906788243
T1,Northern Plains,seasonal,963.866958817623,2233.68561626333,69.8561028728912,30.1438971271088
T1,Northern Plains,semi,1452.73363968837,6724.15289704946,82.2336578456677,17.7663421543323
T1,Northern Plains,temp,1049.04243532538,1399.06664879651,57.1488688094281,42.8511311905719
T1,Northern Rockies,seasonal,109.30809030894,482.211239796514,81.5207915032205,18.4792084967795
T1,Northern Rockies,semi,176.410657550592,2569.86628905815,93.5763704469633,6.42362955303667
T1,Northern Rockies,temp,105.016360545135,205.162688319462,66.143309507994,33.856690492006
T1,Pacific NW,seasonal,3507.6233095605,5745.13302869973,62.0910442107241,37.9089557892759
T1,Pacific NW,semi,3231.64152885929,11313.5902714917,77.7821242506337,22.2178757493663
T1,Pacific NW,temp,3226.33201069336,2309.95857290341,41.7239402091264,58.2760597908736
T1,Southern Plains,seasonal,471.121520284577,641.781126414243,57.6673196274575,42.3326803725425
T1,Southern Plains,semi,1571.43070784238,3696.01491597548,70.1671204589787,29.8328795410213
T1,Southern Plains,temp,301.678089781855,323.768996923324,51.7660092764875,48.2339907235125
T1,Southern Rockies and Basins,seasonal,5317.67129544359,3821.12965054838,41.8121553706039,58.1878446293961
T1,Southern Rockies and Basins,semi,3455.06386284896,6394.64506429157,64.9221729453481,35.0778270546519
T1,Southern Rockies and Basins,temp,11586.4262361882,2214.13655918018,16.0438135169622,83.9561864830378
T2,Great Basin-Colorado Plateau,seasonal,12858.2532938454,44019.379362491,77.393128558045,22.606871441955
T2,Great Basin-Colorado Plateau,semi,15858.0254075712,71917.0695221289,81.9333429143289,18.0666570856712
T2,Great Basin-Colorado Plateau,temp,20263.1906128989,20080.971900065,49.7741696673276,50.2258303326724
T2,Middle Rockies,seasonal,1168.03627168541,3743.32844046234,76.2176840828702,23.7823159171298
T2,Middle Rockies,semi,1952.39786973781,4163.76683516005,68.0780691178196,31.9219308821804
T2,Middle Rockies,temp,1804.31517723484,3000.30486427721,62.4462462870007,37.5537537129993
T2,Mojave-Sonoran Deserts,seasonal,3.14898372381857,33.3751313870723,91.3783435566942,8.62165644330586
T2,Mojave-Sonoran Deserts,semi,4.62217365688656,86.3021006200305,94.9164580155907,5.08354198440932
T2,Mojave-Sonoran Deserts,temp,4.58258819997895,52.256628550827,91.9376295770051,8.06237042299492
T2,Northern Plains,seasonal,991.142098699853,1993.02450820475,66.7866366305889,33.2133633694111
T2,Northern Plains,semi,1254.60845392377,6201.02112200263,83.172333856623,16.8276661433771
T2,Northern Plains,temp,1038.11398690142,1430.85140533429,57.9534816419042,42.0465183580958
T2,Northern Rockies,seasonal,70.4182432434674,484.361582553824,87.3069927980407,12.6930072019593
T2,Northern Rockies,semi,157.28958249694,2177.17576512916,93.2622866877468,6.73771331225316
T2,Northern Rockies,temp,83.9221497563348,240.768598396492,74.1532057091957,25.8467942908043
T2,Pacific NW,seasonal,3401.94929544473,5362.46882729903,61.1845390326982,38.8154609673018
T2,Pacific NW,semi,2551.02707859742,6997.10179091524,73.2824398009238,26.7175601990762
T2,Pacific NW,temp,3477.75154497405,3083.60464188528,46.9964524721418,53.0035475278582
T2,Southern Plains,seasonal,317.500283090894,512.014614829591,61.724583381584,38.275416618416
T2,Southern Plains,semi,1034.76956714576,1536.21589496518,59.7520257350599,40.2479742649401
T2,Southern Plains,temp,241.651377744218,320.433228686925,57.0080064496801,42.9919935503199
T2,Southern Rockies and Basins,seasonal,4397.66629900158,2722.65397450615,38.2378020920802,61.7621979079198
T2,Southern Rockies and Basins,semi,2870.67103449385,4600.31694626729,61.575750866067,38.424249133933
T2,Southern Rockies and Basins,temp,9561.32103828477,2042.9065061745,17.6048470124143,82.3951529875857
