climVar,ecoHydro,1983-2003 (T1),SD T1,2004-2020 (T2),SD T2,Change,% Dif,wilSig,lmSig
aet,Great Basin-Colorado Plateau,2574.0133891938,475.265322671371,2637.8367013413,468.092635652441,63.8233121474931,0.0242118466657656,0/12,0/12
aet,Middle Rockies,3504.58184955747,532.652590540108,3519.13799927915,310.486237838619,14.5561497216785,0.00764764958070657,0/5,0/5
aet,Mojave-Sonoran Deserts,1360.56824578663,434.184583009634,1387.75197698707,525.069009098688,27.1837312004407,0.0199796895779557,0/1,0/1
aet,Northern Plains,3363.51524651958,550.327425520587,3496.60861872592,465.65506876649,133.093372206332,0.0404218306139861,0/5,0/5
aet,Northern Rockies,4294.29623789201,453.474648615615,4104.8859879197,298.634068836434,-189.410249972309,-0.0441074018836874,0/1,0/1
aet,Pacific NW,5144.28084981977,441.493090673643,5123.96292702336,484.292992524428,-20.317922796416,-0.00391024547897107,0/2,0/2
aet,Southern Plains,3579.82193224886,566.01733540022,3359.17708013962,564.274747504776,-220.64485210924,-0.0631803182149957,0/2,1/2
aet,Southern Rockies and Basins,3265.82770571498,528.126645045154,3220.76672789013,458.958039013882,-45.0609778248425,-0.0130462728379972,0/7,1/7
pr,Great Basin-Colorado Plateau,312.231202374189,76.9212378052365,320.85541726824,76.4462374468219,8.6242148940515,0.0283628760857667,0/12,0/12
pr,Middle Rockies,458.560727852455,89.5190026461297,460.225169729687,48.9624312222479,1.6644418772314,0.00993790281078669,0/5,0/5
pr,Mojave-Sonoran Deserts,165.239646224407,64.5065874372529,167.506257221204,75.6344051338449,2.26661099679723,0.013717113589792,0/1,0/1
pr,Northern Plains,372.672431801682,65.7603957985235,389.716150937404,58.0213281088184,17.0437191357212,0.0475997328789643,0/5,0/5
pr,Northern Rockies,695.504925468095,122.157202139397,666.889096396918,47.6702698384321,-28.6158290711773,-0.0411439632176838,0/1,0/1
pr,Pacific NW,942.725802500542,255.120942938279,925.766618339332,275.815680903533,-16.95918416121,-0.0177839394349318,0/2,0/2
pr,Southern Plains,388.335736638869,64.1469863296185,365.896005982988,63.9398602217137,-22.4397306558816,-0.059414244460441,0/2,1/2
pr,Southern Rockies and Basins,378.384565465377,72.9656511897829,377.736330205778,63.2635171340021,-0.648235259598632,-0.00344885167986765,0/7,1/7
swe,Great Basin-Colorado Plateau,250.766478330071,101.862379498999,266.255916653178,97.1092599991672,15.4894383231064,0.050683079215257,0/12,0/12
swe,Middle Rockies,509.301031855921,178.155944001189,521.486586829047,145.587453374984,12.1855549731262,0.0572524538239238,0/5,0/5
swe,Mojave-Sonoran Deserts,81.1229662989931,37.732202181795,78.9970730363561,42.2520392134741,-2.12589326263704,-0.0262058127263453,0/1,0/1
swe,Northern Plains,213.575300439134,79.2622906915942,229.963092384438,94.8419126799783,16.3877919453039,0.096440779515692,0/5,0/5
swe,Northern Rockies,959.529201740901,339.799359362558,929.402896694106,237.848189248118,-30.1263050467951,-0.0313969652952053,0/1,0/1
swe,Pacific NW,175.787631780145,91.6990370727844,175.848597797743,92.2633045755009,0.0609660175986875,-0.000549895956866775,0/2,0/2
swe,Southern Plains,127.322939330023,37.0514228418188,135.443360113661,38.9723052166655,8.1204207836373,0.0626348378806927,0/2,0/2
swe,Southern Rockies and Basins,319.695844976031,89.484563212371,352.134045537864,93.6539282395107,32.4382005618331,0.0885906654469728,0/7,0/7
ro,Great Basin-Colorado Plateau,54.4919665768291,33.4117458521165,56.8464119438861,36.8695714100671,2.35444536705695,0.0564487082950369,0/12,0/12
ro,Middle Rockies,107.725547325574,46.01581754268,109.553078045436,37.935124247255,1.8275307198618,0.0486935984066601,0/5,0/5
ro,Mojave-Sonoran Deserts,28.640450569972,22.8309795388304,28.0666360485293,23.7313721024999,-0.573814521442699,-0.0200351080385695,0/1,0/1
ro,Northern Plains,36.1763663841295,11.9857644337009,39.9366804137456,16.4474356229155,3.76031402961614,0.132246738934633,0/5,0/5
ro,Northern Rockies,264.90662595432,102.884285674971,257.947975308071,63.0141570230545,-6.95865064624871,-0.0262683148116071,0/1,0/1
ro,Pacific NW,428.322758192097,226.102699595568,410.954959858405,245.679643719445,-17.367798333692,-0.0409956036647085,0/2,0/2
ro,Southern Plains,30.0912339950792,8.43986606832454,29.7388789227599,8.66875515822361,-0.352355072319316,-0.0132693573606307,0/2,0/2
ro,Southern Rockies and Basins,51.6322733062699,21.704961517953,55.5497109776402,22.974207950141,3.91743767137026,0.0505327238063565,0/7,0/7
tmin,Great Basin-Colorado Plateau,1.24188979959596,6.70780940929818,6.37237002697551,6.19740918483672,5.13048022737954,1.10170716885514,7/12,9/12
tmin,Middle Rockies,-24.4711255681675,6.16210290245555,-21.2104645991326,6.73486504914182,3.2606609690349,0.147768707742059,1/5,1/5
tmin,Mojave-Sonoran Deserts,80.3034681547815,6.05326850091562,89.1790258275001,5.75422905690589,8.87555767271864,0.110525209890205,1/1,1/1
tmin,Northern Plains,-14.8754476231025,7.33096532494537,-12.9751499595239,9.18099841090602,1.90029766357858,0.157442370990613,0/5,0/5
tmin,Northern Rockies,-20.6497748451133,5.90758765316514,-17.9989348748195,6.14650352842538,2.65083997029377,0.128371374030796,0/1,0/1
tmin,Pacific NW,34.8669646686885,6.43302281135961,39.0117066662347,5.14784109039512,4.14474199754619,0.120419101005127,0/2,2/2
tmin,Southern Plains,3.70804501808369,3.53667605336415,7.11212905572923,6.17446582494328,3.40408403764555,3.22409009342037,0/2,2/2
tmin,Southern Rockies and Basins,-21.7338822840137,5.00857530816045,-19.5313472274194,6.57146250734762,2.20253505659428,0.974098933988416,0/7,3/7
irr_ha,Great Basin-Colorado Plateau,177327.340622583,21044.5224500822,190037.117697485,15390.9675510421,12709.7770749015,0.117885167644538,6/12,8/12
irr_ha,Middle Rockies,318727.598066584,41399.2136306847,331898.204442821,30029.2613745164,13170.6063762372,0.0305625146499427,0/5,1/5
irr_ha,Mojave-Sonoran Deserts,17502.0299266718,1564.01481991682,17819.2018080705,928.759684221921,317.171881398732,0.0181220054318034,0/1,1/1
irr_ha,Northern Plains,60406.0908168653,16043.9692849426,69228.3079079874,21119.320924154,8822.21709112209,0.193052335442051,0/5,2/5
irr_ha,Northern Rockies,177733.460031952,30457.7451800197,165648.537473196,22808.3019478094,-12084.922558756,-0.0679946395945,0/1,0/1
irr_ha,Pacific NW,422624.541719981,24409.8285236277,443526.295322146,19319.6214698016,20901.7536021647,0.0415656951492691,1/2,1/2
irr_ha,Southern Plains,297596.22717782,43386.9991505789,274869.812536942,39564.1202074564,-22726.4146408785,-0.0815322022428556,0/2,0/2
irr_ha,Southern Rockies and Basins,158699.353974054,27077.8696843395,160304.710117641,27941.3138854004,1605.35614358761,0.0664315249814014,2/7,3/7
