state,period,T1,T2,Change,perDif,p.value
CA,temp,2501.35440821245,3039.49043033646,538.136022124008,0.215137855058523,0.00323558787908956
CO,temp,8434.60186892206,6163.76901002117,-2270.83285890088,-0.269228221342366,0.0000154079123083585
ID,temp,9611.56191743404,8490.00187212467,-1121.56004530937,-0.11668863551459,0.0578875436833555
MT,temp,4711.47049710638,4575.05540972292,-136.415087383456,-0.0289538239637152,0.309032541059991
NV,temp,13086.9738923481,10878.6849040379,-2208.28898831017,-0.168739466165005,0.101726933175555
OR,temp,19675.5643993725,21014.4967281142,1338.93232874165,0.0680505169541338,0.34453083691215
UT,temp,6512.70722873047,9226.56160522566,2713.85437649519,0.416701424028884,0.0000999688799252515
WY,temp,3322.08568245515,3338.65038337257,16.5647009174136,0.00498623530539754,0.901044523270083
CA,seasonal,6341.87613180658,5357.33944640916,-984.536685397427,-0.15524375830358,0.0445226890079167
CO,seasonal,4866.96378136274,3424.06319134871,-1442.90059001403,-0.296468322928431,0.000000114843711720995
ID,seasonal,10273.8348421769,10466.5453092269,192.710467050021,0.0187574036385024,0.708971519625106
MT,seasonal,6915.78131009694,5609.07099096035,-1306.71031913659,-0.188946159594262,0.000908297201916097
NV,seasonal,15839.0827844854,9560.31667422556,-6278.76611025982,-0.396409703496844,0.0630014673169666
OR,seasonal,21517.292660559,17495.7017331521,-4021.59092740688,-0.18690041497546,0.0168271594682328
UT,seasonal,19154.9919594898,28243.1423691126,9088.15040962276,0.474453365934214,0.000208072808444948
WY,seasonal,2242.02492949191,1922.38121558685,-319.643713905062,-0.142569205944334,0.0168271594682328
CA,semi,7050.56014824757,4713.61411459048,-2336.94603365709,-0.331455371561924,0.000348770067985163
CO,semi,9145.96667221304,5220.13941693864,-3925.8272552744,-0.42924136900714,0.00000000171408524956708
ID,semi,12623.5961412296,10999.8785692221,-1623.71757200745,-0.128625595578448,0.0486639858201955
MT,semi,16011.0349391439,15084.7353357122,-926.299603431631,-0.0578538243750258,0.00867601732737925
NV,semi,22051.8378568548,10601.4685511548,-11450.3693057001,-0.519247845917782,0.00368549583314018
OR,semi,38565.955833388,15970.2831956935,-22595.6726376946,-0.585896865497435,0.00000000342817049913417
UT,semi,98739.5293200122,58376.8644055757,-40362.6649144365,-0.408779190992719,0.00000000171408524956708
WY,semi,2743.99137284307,2395.39755592471,-348.593816918355,-0.12703896242836,0.167665804387511
