state,ownAg,wetMean,period
CA,Private,1950.66977680739,temp/seas
CA,Public,6446.16009993822,temp/seas
CO,Private,7077.866006894,temp/seas
CO,Public,2509.96619447588,temp/seas
ID,Private,6595.44263296793,temp/seas
ID,Public,12361.1045483836,temp/seas
MT,Private,4450.53069857383,temp/seas
MT,Public,5733.59570210944,temp/seas
NV,Private,7960.68052578984,temp/seas
NV,Public,12478.3210524737,temp/seas
OR,Private,19140.0742076624,temp/seas
OR,Public,19370.52044046,temp/seas
UT,Private,8467.31402596903,temp/seas
UT,Public,29002.3899483692,temp/seas
WY,Private,4040.38537006519,temp/seas
WY,Public,1220.64622889422,temp/seas
CA,Private,1565.37527637647,semi
CA,Public,3148.23883821401,semi
CO,Private,2416.97507107183,semi
CO,Public,2803.16434586681,semi
ID,Private,3289.24513167835,semi
ID,Public,7710.63343754376,semi
MT,Private,3247.99286891751,semi
MT,Public,11836.7424667947,semi
NV,Private,1680.85922166858,semi
NV,Public,8920.60932948618,semi
OR,Private,2742.50580831646,semi
OR,Public,13227.777387377,semi
UT,Private,9276.93024520585,semi
UT,Public,49099.9341603699,semi
WY,Private,1463.52754438864,semi
WY,Public,931.870011536066,semi
