state,wetType,T1,T2,Change,perDif,p.value
CA,riv,369.844765723657,417.990807751761,48.1460420281039,0.130179054809384,0.0371033258558935
CO,riv,4273.27637621096,3187.98175380685,-1085.29462240411,-0.253972485478793,0.00000000171408524956708
ID,riv,7268.26236725403,6831.46999127194,-436.792375982087,-0.0600958460099052,0.275974818065063
MT,riv,6544.93918716437,6044.9432706652,-499.995916499168,-0.0763942799468232,0.000036881972314935
NV,riv,5821.70373147264,4361.73930536093,-1459.96442611171,-0.25077958162299,0.0630014673169666
OR,riv,2443.21788507458,2232.2976467045,-210.920238370072,-0.086328869667567,0.00368549583314018
UT,riv,4337.13143767022,3935.80509782066,-401.326339849558,-0.0925326671826987,0.118083439115962
WY,riv,785.796924426395,863.193183055642,77.3962586292468,0.0984939699092655,0.465378817853854
CA,wet,7925.2699969367,6542.51990007391,-1382.75009686278,-0.174473563348283,0.00216183688437375
CO,wet,5803.21530125273,3305.32551456344,-2497.88978668929,-0.430432037589588,0.000000870755306780079
ID,wet,6518.77533650361,5922.83324643061,-595.942090073004,-0.0914193325141715,0.167665804387511
MT,wet,9631.13148989285,9406.01497997011,-225.116509922746,-0.0233738382825516,0.230940937413168
NV,wet,20544.6539007116,10467.1385877937,-10077.5153129179,-0.490517648124937,0.0684712521892404
OR,wet,34627.4946958483,21941.6272950878,-12685.8674007604,-0.366352446580013,0.000485050129837244
UT,wet,21430.0382443711,16344.6056510171,-5085.432593354,-0.237303943901723,0.0000193023139953749
WY,wet,3174.65662616354,2729.02326466499,-445.633361498549,-0.140372145392329,0.018679509690371
CA,wetAg,953.584130401808,1012.80134237363,59.2172119718196,0.0620996198278461,0.581369497720999
CO,wetAg,8860.81386964541,6279.90423220328,-2580.90963744214,-0.291272300198471,0.0000555997832402075
ID,wetAg,5566.85342739608,5184.0733679246,-382.780059471477,-0.0687605780291802,0.24534974713943
MT,wetAg,1821.6145518158,1212.68774294219,-608.926808873609,-0.334278625665691,0.000000166266269208007
NV,wetAg,2122.81795836786,2006.82739559553,-115.990562772334,-0.0546399008521264,0.402312098739607
OR,wetAg,17005.8654505365,12879.8668374545,-4125.998613082,-0.24262208971857,0.0445226890079167
UT,wetAg,3398.17011641733,2237.809510153,-1160.36060626433,-0.341466308781413,0.0000453821210675381
WY,wetAg,3516.05446402979,3256.43229245854,-259.622171571246,-0.0738390642770904,0.581369497720999
CA,wetMan,6645.09179520444,5137.13194113679,-1507.95985406765,-0.226928370674412,0.0168271594682328
CO,wetMan,3510.22677538873,2034.76011773495,-1475.46665765378,-0.420333714049112,0.00000000171408524956708
ID,wetMan,13155.1017696868,12018.0491449465,-1137.05262474024,-0.0864343465103663,0.0871790202890358
MT,wetMan,9640.60151747416,8605.215742818,-1035.38577465616,-0.107398461888448,0.0000193023139953749
NV,wetMan,22488.7189431362,14204.7648406681,-8283.95410246816,-0.368360426550508,0.0135868612828775
OR,wetMan,25682.2348618602,17426.6898777129,-8255.54498414728,-0.321449633513294,0.0000000119985967469696
UT,wetMan,95241.8887097739,73328.3481209233,-21913.5405888506,-0.230083011642353,0.00000000171408524956708
WY,wetMan,831.593970170404,807.780414704947,-23.8135554654565,-0.0286360367194303,0.682660043646953
